,id_org,id_match,MATCH,phone_scaled,last_name_scaled,first_name_scaled,city_scaled,state_scaled,address_1_scaled,address_1_2_scaled,dob_scaled,zip_scaled,similarity
11,rec-5411-org,rec-772-dup-1,0,0.0,0.4,0.5,0.19999999999999996,1.0,0.9,0.0,0.19999999999999996,0.7,0.15269676416712166
9249,rec-4473-org,rec-772-dup-1,0,0.09999999999999998,0.4,0.4,0.0,1.0,0.9,0.0,1.0,0.8,0.1784119932400363
13513,rec-7864-org,rec-772-dup-1,0,0.09999999999999998,0.30000000000000004,0.5,0.09999999999999998,0.7,0.9,0.0,0.19999999999999996,0.6,0.14305624604272543
13871,rec-2773-org,rec-772-dup-1,0,0.09999999999999998,0.30000000000000004,0.4,0.19999999999999996,1.0,0.9,0.0,1.0,0.6,0.14629657185606798
18278,rec-7505-org,rec-772-dup-1,0,0.0,0.5,0.5,0.09999999999999998,0.7,0.9,0.0,0.19999999999999996,0.7,0.1489936940393792
19807,rec-772-org,rec-772-dup-1,1,1.0,0.8,1.0,0.8,1.0,0.9,0.0,1.0,1.0,0.5889009394596272
22954,rec-9008-org,rec-772-dup-1,0,0.0,0.0,0.4,0.19999999999999996,0.7,0.9,0.0,0.19999999999999996,0.6,0.13503638245317817
24217,rec-287-org,rec-772-dup-1,0,0.0,0.4,0.4,0.19999999999999996,0.8,0.9,0.0,0.19999999999999996,0.6,0.15732277000240874
28807,rec-849-org,rec-772-dup-1,0,0.0,0.5,0.5,0.0,0.7,0.9,0.0,0.19999999999999996,0.6,0.12293957075600732
29033,rec-8747-org,rec-772-dup-1,0,0.0,0.5,0.7,0.09999999999999998,0.7,0.9,0.0,0.19999999999999996,0.6,0.1473339206416939
12,rec-5411-org,rec-9008-dup-0,0,0.30000000000000004,0.0,0.4,0.09999999999999998,0.7,0.9,0.0,0.8,0.6,0.14726910738605503
2950,rec-352-org,rec-9008-dup-0,0,0.19999999999999996,0.09999999999999998,0.5,0.9,0.8,0.0,0.0,0.6,0.7,0.13364909459142343
9250,rec-4473-org,rec-9008-dup-0,0,0.30000000000000004,0.0,0.4,0.0,0.7,0.9,0.0,0.19999999999999996,0.6,0.13309201904807091
13514,rec-7864-org,rec-9008-dup-0,0,0.19999999999999996,0.0,0.4,0.09999999999999998,0.8,0.9,0.0,0.6,0.8,0.12818828367515694
13872,rec-2773-org,rec-9008-dup-0,0,0.09999999999999998,0.0,0.5,0.09999999999999998,0.7,0.9,0.0,0.19999999999999996,0.7,0.1310918395565033
18279,rec-7505-org,rec-9008-dup-0,0,0.19999999999999996,0.0,0.4,0.0,0.8,0.9,0.0,0.6,0.7,0.14369766410580495
19812,rec-772-org,rec-9008-dup-0,0,0.0,0.0,0.30000000000000004,0.09999999999999998,0.7,0.9,0.0,0.19999999999999996,0.6,0.15849810008018592
22952,rec-9008-org,rec-9008-dup-0,1,1.0,0.9,0.9,0.9,0.8,0.9,0.0,1.0,0.9,0.6971439547089117
24218,rec-287-org,rec-9008-dup-0,0,0.19999999999999996,0.0,0.30000000000000004,0.09999999999999998,0.8,0.9,0.0,0.7,0.7,0.1409720751627101
29034,rec-8747-org,rec-9008-dup-0,0,0.19999999999999996,0.0,0.30000000000000004,0.19999999999999996,0.8,0.9,0.0,0.5,0.8,0.13202137576397643
13,rec-9625-org,rec-9625-dup-0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9,1.0,0.8938162323956215
6399,rec-535-org,rec-9625-dup-0,0,0.30000000000000004,0.6,0.6,0.19999999999999996,1.0,1.0,0.0,0.5,0.7,0.18233936436346124
8138,rec-8230-org,rec-9625-dup-0,0,0.30000000000000004,0.0,0.5,0.09999999999999998,0.7,1.0,0.0,0.5,0.7,0.15077619135086776
10961,rec-6758-org,rec-9625-dup-0,0,0.09999999999999998,0.5,0.5,1.0,1.0,0.0,0.0,0.30000000000000004,0.6,0.14243497708939554
11098,rec-5422-org,rec-9625-dup-0,0,0.19999999999999996,0.6,1.0,0.19999999999999996,0.7,0.0,0.0,0.6,0.6,0.10702684085366036
11314,rec-3567-org,rec-9625-dup-0,0,0.19999999999999996,0.19999999999999996,0.5,0.7,1.0,0.0,0.30000000000000004,0.6,0.6,0.11095624555247724
18823,rec-9187-org,rec-9625-dup-0,0,0.4,0.30000000000000004,0.19999999999999996,0.0,1.0,1.0,0.0,0.5,0.7,0.13069714165087992
22006,rec-5464-org,rec-9625-dup-0,0,0.30000000000000004,0.19999999999999996,0.5,0.09999999999999998,0.7,1.0,0.0,0.4,0.6,0.12005600817321238
24336,rec-2311-org,rec-9625-dup-0,0,0.19999999999999996,0.4,0.19999999999999996,0.7,1.0,0.0,0.0,0.4,0.7,0.10613292565315627
25143,rec-8179-org,rec-9625-dup-0,0,0.0,0.4,0.19999999999999996,0.09999999999999998,0.7,1.0,0.0,0.6,0.7,0.14172260861016187
14,rec-9625-org,rec-9625-dup-1,1,0.8,1.0,1.0,0.9,0.9,1.0,0.0,1.0,1.0,0.6625889762530751
6400,rec-535-org,rec-9625-dup-1,0,0.30000000000000004,0.6,0.6,0.19999999999999996,0.9,1.0,0.0,0.6,0.7,0.17977565831424133
8139,rec-8230-org,rec-9625-dup-1,0,0.4,0.0,0.5,0.09999999999999998,0.7,1.0,0.0,0.6,0.7,0.14865626603910648
11099,rec-5422-org,rec-9625-dup-1,0,0.30000000000000004,0.6,1.0,0.19999999999999996,0.7,0.0,0.0,0.6,0.6,0.10552203490962687
18824,rec-9187-org,rec-9625-dup-1,0,0.4,0.30000000000000004,0.19999999999999996,0.0,0.9,1.0,0.0,0.5,0.7,0.12885952938412762
22007,rec-5464-org,rec-9625-dup-1,0,0.30000000000000004,0.19999999999999996,0.5,0.0,0.7,1.0,0.0,0.4,0.6,0.11836801109439543
25144,rec-8179-org,rec-9625-dup-1,0,0.0,0.4,0.19999999999999996,0.09999999999999998,0.7,1.0,0.0,0.6,0.7,0.1397299773959779
15,rec-9625-org,rec-9187-dup-1,0,0.4,0.30000000000000004,0.4,0.0,1.0,1.0,0.0,0.19999999999999996,0.7,0.15239025255519814
1632,rec-3110-org,rec-9187-dup-1,0,0.30000000000000004,0.5,0.5,0.0,1.0,0.0,0.0,0.19999999999999996,0.6,0.10112960619453343
4517,rec-8693-org,rec-9187-dup-1,0,0.09999999999999998,0.4,0.19999999999999996,0.0,1.0,0.0,0.0,0.19999999999999996,0.7,0.10421716160193388
6401,rec-535-org,rec-9187-dup-1,0,0.19999999999999996,0.30000000000000004,0.4,0.0,1.0,1.0,0.0,0.19999999999999996,0.7,0.1556441415469303
7849,rec-5760-org,rec-9187-dup-1,0,0.5,0.19999999999999996,0.4,0.0,1.0,0.09999999999999998,0.0,0.19999999999999996,0.8,0.11364397984809785
8140,rec-8230-org,rec-9187-dup-1,0,0.19999999999999996,0.09999999999999998,0.5,0.0,0.7,1.0,0.0,0.19999999999999996,0.7,0.1430658877398005
9234,rec-5522-org,rec-9187-dup-1,0,0.30000000000000004,0.30000000000000004,0.19999999999999996,0.0,1.0,0.0,0.0,1.0,0.6,0.10025728729412114
13104,rec-1448-org,rec-9187-dup-1,0,0.19999999999999996,0.30000000000000004,0.4,0.0,0.7,0.09999999999999998,0.0,0.19999999999999996,0.8,0.10927640114546233
18509,rec-8725-org,rec-9187-dup-1,0,0.19999999999999996,0.30000000000000004,0.30000000000000004,1.0,1.0,0.0,0.0,0.19999999999999996,0.7,0.25131193922435313
18820,rec-9187-org,rec-9187-dup-1,1,1.0,1.0,0.19999999999999996,1.0,1.0,1.0,0.0,0.19999999999999996,1.0,0.7879244634241194
19048,rec-7894-org,rec-9187-dup-1,0,0.09999999999999998,1.0,0.4,0.0,1.0,0.0,0.0,0.19999999999999996,0.7,0.1259159158380339
22005,rec-5464-org,rec-9187-dup-1,0,0.19999999999999996,0.19999999999999996,0.6,0.0,0.7,1.0,0.0,0.19999999999999996,0.6,0.1257749200641807
23178,rec-9471-org,rec-9187-dup-1,0,0.19999999999999996,0.19999999999999996,0.4,0.0,0.7,0.0,0.0,0.19999999999999996,0.9,0.101735261933502
25142,rec-8179-org,rec-9187-dup-1,0,0.19999999999999996,0.19999999999999996,0.09999999999999998,0.0,0.7,1.0,0.0,0.19999999999999996,0.6,0.14847361694312552
16,rec-9625-org,rec-8230-dup-0,0,0.30000000000000004,0.0,0.5,0.09999999999999998,0.7,0.8,0.0,0.6,0.7,0.14988818095711287
816,rec-2323-org,rec-8230-dup-0,0,0.0,1.0,0.6,0.30000000000000004,0.7,0.0,0.0,0.6,0.7,0.10509209843174186
1908,rec-6039-org,rec-8230-dup-0,0,0.30000000000000004,1.0,0.4,0.0,0.7,0.0,0.0,0.5,0.6,0.10813979275836201
3082,rec-2472-org,rec-8230-dup-0,0,0.30000000000000004,1.0,0.6,0.0,0.7,0.0,0.0,0.7,0.7,0.11404065197207314
4024,rec-5292-org,rec-8230-dup-0,0,0.09999999999999998,1.0,0.4,0.4,0.7,0.19999999999999996,0.0,0.30000000000000004,0.7,0.12648815532791738
5302,rec-6906-org,rec-8230-dup-0,0,0.19999999999999996,1.0,0.4,0.5,0.7,0.0,0.0,0.8,0.8,0.10214297404549937
6403,rec-535-org,rec-8230-dup-0,0,0.30000000000000004,0.0,0.4,0.30000000000000004,0.7,0.8,0.0,0.5,0.6,0.13110090023520163
7628,rec-2134-org,rec-8230-dup-0,0,0.4,1.0,0.5,0.0,0.7,0.0,0.0,0.7,0.6,0.10964517972117753
7819,rec-8777-org,rec-8230-dup-0,0,0.30000000000000004,1.0,0.19999999999999996,0.0,0.7,0.0,0.0,0.30000000000000004,0.8,0.10720544503787995
8135,rec-8230-org,rec-8230-dup-0,1,1.0,1.0,0.9,0.9,1.0,0.8,0.0,1.0,1.0,0.8519172315668273
10712,rec-2572-org,rec-8230-dup-0,0,0.09999999999999998,1.0,0.6,0.0,0.7,0.0,0.0,0.5,0.7,0.11027849825957724
12451,rec-518-org,rec-8230-dup-0,0,0.09999999999999998,0.0,0.6,0.5,0.7,0.0,0.0,0.4,0.8,0.12330806862550427
14662,rec-2561-org,rec-8230-dup-0,0,0.0,1.0,0.4,0.19999999999999996,0.7,0.0,0.0,0.5,0.8,0.15336787153028253
15115,rec-3576-org,rec-8230-dup-0,0,0.30000000000000004,1.0,0.30000000000000004,0.09999999999999998,0.7,0.0,0.0,0.30000000000000004,0.7,0.11522062417690151
16142,rec-8273-org,rec-8230-dup-0,0,0.0,0.09999999999999998,0.30000000000000004,0.5,0.7,0.0,0.0,0.6,0.6,0.1349299626721414
18825,rec-9187-org,rec-8230-dup-0,0,0.19999999999999996,0.09999999999999998,0.19999999999999996,0.0,0.7,0.8,0.0,0.6,0.7,0.12197746832556737
20604,rec-8209-org,rec-8230-dup-0,0,0.4,1.0,0.4,0.30000000000000004,0.7,0.0,0.0,0.8,0.6,0.10866807397354836
21026,rec-303-org,rec-8230-dup-0,0,0.0,1.0,0.5,0.0,0.7,0.0,0.0,0.6,0.6,0.10072853905396291
22009,rec-5464-org,rec-8230-dup-0,0,0.30000000000000004,0.09999999999999998,0.5,0.0,0.8,0.8,0.0,0.5,0.6,0.11204627545229467
23370,rec-3796-org,rec-8230-dup-0,0,0.09999999999999998,1.0,0.4,0.19999999999999996,0.7,0.0,0.0,0.7,0.6,0.10455175231276578
24927,rec-8822-org,rec-8230-dup-0,0,0.30000000000000004,1.0,0.4,0.4,0.8,0.0,0.0,0.5,0.7,0.10680344868788963
25146,rec-8179-org,rec-8230-dup-0,0,0.0,0.0,0.30000000000000004,0.4,0.7,0.8,0.0,0.6,0.6,0.13226735324434244
25858,rec-4245-org,rec-8230-dup-0,0,0.0,1.0,0.4,0.5,0.7,0.0,0.0,0.6,0.7,0.10582362895435699
26158,rec-3686-org,rec-8230-dup-0,0,0.19999999999999996,1.0,0.5,0.0,0.7,0.0,0.0,0.5,0.7,0.1041090694939449
28024,rec-86-org,rec-8230-dup-0,0,0.09999999999999998,1.0,0.5,0.30000000000000004,0.7,0.0,0.0,0.6,0.6,0.12424133298401945
28461,rec-3150-org,rec-8230-dup-0,0,0.09999999999999998,1.0,0.4,0.30000000000000004,0.7,0.0,0.0,0.5,0.6,0.10713078395711163
17,rec-9625-org,rec-9187-dup-0,0,0.4,0.30000000000000004,0.30000000000000004,0.0,1.0,1.0,0.0,0.4,0.6,0.13806570020088735
6402,rec-535-org,rec-9187-dup-0,0,0.19999999999999996,0.30000000000000004,0.4,0.0,1.0,1.0,0.0,0.6,0.7,0.14101372643279306
